States,Diabetes_Women/100000,Asthma_Women/100000,Thyroid_Women/100000,Diabetes_Men/100000,Asthma_Men/100000,Thyroid_Men/100000
Andaman & Nicobar Islands,,,,,,
Andhra Pradesh,838,2151,1155,2116,2189,829
Arunachal Pradesh,537,2037,2037,606,2072,567
Assam,402,1411,760,601,1105,1371
Bihar,1024,1696,853,940,981,273
Chandigarh,,,,,,
Chattisgarh,659,746,563,932,858,358
Dadra & Nagar Haveli,,,,,,
Daman & Diu,,,,,,
Delhi,1692,547,1481,1229,736,133
Goa,1921,1836,841,3016,1588,584
Gujarat,968,1530,484,524,1844,72
Haryana,1169,1552,388,608,1266,739
Himachal Pradesh,1048,384,678,344,527,304
Jammu and Kashmir,540,897,237,278,816,0
Jharkhand,652,1291,858,629,407,74
Karnataka,681,1259,798,973,691,285
Kerala,2549,4037,5744,3078,2984,1888
Lakshadweep,,,,,,
Madhya Pradesh,558,1283,599,555,1102,424
Maharashtra,479,1714,590,906,1855,201
Manipur,1006,1400,2623,1059,1106,1389
Meghalaya,910,1618,864,641,746,179
Mizoram,1189,3563,1857,315,2351,315
Nagaland,577,1414,629,1217,2464,725
Odisha,556,2533,362,1179,1592,122
Puducherry,,,,,,
Punjab,849,945,601,802,802,241
Rajasthan,282,1565,376,362,1739,246
Sikkim,1160,5150,1574,1698,2769,1191
Tamil Nadu,2188,1126,1568,1351,687,170
Telangana,,,,,,
Tripura,1656,5924,2439,2392,5086,552
Uttar Pradesh,383,1089,517,456,1225,138
Uttarakhand,825,537,257,965,972,215
West Bengal,1641,3304,1626,2323,4365,667
