States,1st,2nd,3rd
Andaman & Nicobar Islands,-1.3105737497469163,-0.1378463225537404,-0.012038636018701566
Andhra Pradesh,1.8591020437010486,0.3092913328664241,0.10789415982856042
Arunachal Pradesh,-1.3141495513801729,-0.13574186607665154,-0.005225596016860713
Assam,-0.6808986300218406,0.022592659478065887,0.12795648461632927
Bihar,2.3492661972112643,-0.7576630887186703,0.008683425363366422
Chandigarh,-1.273157382963348,-0.0761619419853895,-0.024485653575333312
Chattisgarh,-0.9364127626741464,-0.03470611857659447,-0.10727084516081074
Dadra & Nagar Haveli,-1.3333053693751955,-0.13494278350730976,-0.019153077336671653
Daman & Diu,-1.3437334968099155,-0.13261841097469249,-0.022020613432578207
Delhi,-0.47058073819852436,0.31354341042797035,-0.08876535978806989
Goa,-1.2768453823935437,-0.12353425314180433,0.014596818069414805
Gujarat,-0.01824817730220153,-0.007736383009958104,0.26637226456582236
Haryana,-0.7250811391117374,0.254250858571713,-0.19519108357889697
Himachal Pradesh,-1.078245050011539,-0.04236258236538869,-0.040626188420716906
Jammu & Kashmir,-0.19351043709711913,0.5979243689213499,-0.1877484217366252
Jharkhand,-0.23290655366980234,-0.09555029218621222,0.11540817078508639
Karnataka,1.3828672552119583,0.06491739993325961,1.181850986229554
Kerala,1.3178132724127622,1.128331974711858,0.4148958090708279
Lakshadweep,-1.3360945024580648,-0.13248863589880813,-0.02545114444429035
Madhya Pradesh,1.1415469579079323,-0.2843680828332116,-0.3558321811614968
Maharashtra,2.337122398879926,0.154675516093476,-0.16850397986303725
Manipur,-1.220677003411671,-0.08002972229630104,-0.058027330210801545
Meghalaya,-1.118280827382961,-0.10728333509927515,-0.0022854541626017456
Mizoram,-1.302302426612681,-0.12900805213949085,-0.024432671205609355
Nagaland,-1.2871191746190564,-0.16171879785615603,-0.03132701118405453
Odisha,0.5840655050615616,-0.602617794780283,0.27845611595535646
Puducherry,-1.2393851070509478,-0.1408763245695373,-0.033598156563532745
Punjab,-0.31834786589026964,0.2190255934413491,0.014184138282320447
Rajasthan,-0.17090800583489468,0.42948200279362403,0.17567551970909026
Sikkim,-1.3272464424723192,-0.13266884959351669,-0.015452287985129277
Tamil Nadu,5.395057918638715,-0.8042870021966011,-0.18721283123796334
Telangana,1.0965510468513202,0.09440579958962843,-0.44086312875655054
Tripura,-1.300149328493465,-0.09955745307769853,0.010604466060044525
Uttar Pradesh,4.195175058281438,0.21618347379826416,0.2537992866888458
Uttarakhand,-1.0759893032092456,-0.10074425940368376,-0.058666562599965943
West Bengal,2.225580754033653,0.6498879622139925,-0.8661994307843205
