States,Latitude,Longitude,Coordinates
Andaman & Nicobar Islands,11.7400867,92.6586401,"11.7400867,92.6586401"
Andhra Pradesh,15.9128998,79.7399875,"15.9128998,79.7399875"
Arunachal Pradesh,28.2179994,94.7277528,"28.2179994,94.7277528"
Assam,26.2006043,92.9375739,"26.2006043,92.9375739"
Bihar,25.0960742,85.3131194,"25.0960742,85.3131194"
Chandigarh,30.7333148,76.7794179,"30.7333148,76.7794179"
Chattisgarh,21.2786567,81.8661442,"21.2786567,81.8661442"
Dadra & Nagar Haveli,20.1808672,73.0169135,"20.1808672,73.0169135"
Daman & Diu,20.3973736,72.8327991,"20.3973736,72.8327991"
Delhi,28.7040592,77.1024902,"28.7040592,77.1024902"
Goa,15.2993265,74.123996,"15.2993265,74.123996"
Gujarat,22.258652,71.1923805,"22.258652,71.1923805"
Haryana,29.0587757,76.085601,"29.0587757,76.085601"
Himachal Pradesh,31.1048294,77.1733901,"31.1048294,77.1733901"
Jammu and Kashmir,33.277839,75.3412179,"33.277839,75.3412179"
Jharkhand,23.6101808,85.2799354,"23.6101808,85.2799354"
Karnataka,15.3172775,75.7138884,"15.3172775,75.7138884"
Kerala,10.8505159,76.2710833,"10.8505159,76.2710833"
Lakshadweep,10.5593204,72.6358134,"10.5593204,72.6358134"
Madhya Pradesh,22.9734229,78.6568942,"22.9734229,78.6568942"
Maharashtra,19.7514798,75.7138884,"19.7514798,75.7138884"
Manipur,24.6637173,93.9062688,"24.6637173,93.9062688"
Meghalaya,25.4670308,91.366216,"25.4670308,91.366216"
Mizoram,23.164543,92.9375739,"23.164543,92.9375739"
Nagaland,26.1584354,94.5624426,"26.1584354,94.5624426"
Odisha,20.9516658,85.0985236,"20.9516658,85.0985236"
Puducherry,11.9415915,79.8083133,"11.9415915,79.8083133"
Punjab,31.1471305,75.3412179,"31.1471305,75.3412179"
Rajasthan,27.0238036,74.2179326,"27.0238036,74.2179326"
Sikkim,27.5329718,88.5122178,"27.5329718,88.5122178"
Tamil Nadu,11.1271225,78.6568942,"11.1271225,78.6568942"
Telangana,18.1124372,79.0192997,"18.1124372,79.0192997"
Tripura,23.9408482,91.9881527,"23.9408482,91.9881527"
Uttar Pradesh,26.8467088,80.9461592,"26.8467088,80.9461592"
Uttarakhand,30.066753,79.0192997,"30.066753,79.0192997"
West Bengal,22.9867569,87.8549755,"22.9867569,87.8549755"
