States,Andaman & Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chattisgarh,Dadra & Nagar Haveli,Daman & Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Andaman & Nicobar Islands,0.0,1471.0,1837.0,1601.0,1669.0,2665.0,1561.0,2298.0,2325.0,2478.0,2044.0,2561.0,2576.0,2672.0,2967.0,1528.0,1876.0,1792.0,2191.0,1937.0,2019.0,1437.0,1526.0,1265.0,1609.0,1300.0,1400.0,2791.0,2565.0,1801.0,1529.0,1627.0,1352.0,2074.0,2471.0,1345.0
Andhra Pradesh,1471.0,0.0,2970.0,2516.0,1816.0,2114.0,905.0,1148.0,1165.0,1862.0,739.0,1626.0,1956.0,2211.0,2551.0,1386.0,528.0,933.0,971.0,1115.0,835.0,2506.0,2515.0,2550.0,2725.0,1010.0,536.0,2244.0,1796.0,2031.0,679.0,353.0,2349.0,1628.0,2159.0,1361.0
Arunachal Pradesh,1837.0,2961.0,0.0,555.0,1465.0,2737.0,2209.0,3280.0,3255.0,2487.0,3524.0,3303.0,2608.0,2834.0,3174.0,1603.0,3424.0,3810.0,3023.0,2327.0,2890.0,665.0,785.0,1018.0,454.0,2083.0,3413.0,2867.0,2729.0,1115.0,3556.0,2925.0,900.0,1926.0,2500.0,1506.0
Assam,1601.0,2514.0,566.0,0.0,1059.0,2331.0,1802.0,2874.0,2849.0,2080.0,3118.0,2896.0,2201.0,2428.0,2768.0,1197.0,3017.0,3363.0,2749.0,1921.0,2484.0,339.0,323.0,572.0,324.0,1636.0,2967.0,2461.0,2322.0,709.0,3110.0,2519.0,454.0,1519.0,2093.0,1221.0
Bihar,1669.0,1819.0,1471.0,1059.0,0.0,1370.0,866.0,1762.0,1737.0,1119.0,2105.0,1784.0,1241.0,1467.0,1807.0,261.0,2004.0,2582.0,2093.0,907.0,1471.0,1395.0,989.0,1676.0,1330.0,718.0,2311.0,1500.0,1362.0,610.0,2454.0,1505.0,1475.0,567.0,1151.0,462.0
Chandigarh,2665.0,2113.0,2752.0,2340.0,1368.0,0.0,1462.0,1520.0,1494.0,244.0,2144.0,1331.0,254.0,110.0,458.0,1536.0,2137.0,2876.0,2274.0,1062.0,1579.0,2676.0,2270.0,2951.0,2610.0,1994.0,2606.0,159.0,571.0,1869.0,2748.0,1800.0,2750.0,802.0,403.0,1737.0
Chattisgarh,1561.0,904.0,2214.0,1802.0,865.0,1465.0,0.0,1116.0,1196.0,1213.0,1385.0,1338.0,1306.0,1562.0,1901.0,617.0,1285.0,1863.0,1543.0,505.0,763.0,2036.0,1732.0,2079.0,2073.0,454.0,1356.0,1595.0,1352.0,1353.0,1499.0,786.0,1878.0,950.0,1509.0,883.0
Dadra & Nagar Haveli,2298.0,1150.0,3300.0,2888.0,1760.0,1530.0,1116.0,0.0,45.0,1294.0,727.0,548.0,1348.0,1626.0,1878.0,1714.0,785.0,1430.0,1065.0,951.0,387.0,3233.0,2818.0,3277.0,3158.0,1551.0,1438.0,1541.0,984.0,2417.0,1447.0,935.0,3076.0,1365.0,1626.0,2063.0
Daman & Diu,2325.0,1166.0,3266.0,2854.0,1726.0,1496.0,1196.0,44.0,0.0,1260.0,743.0,514.0,1314.0,1592.0,1843.0,1828.0,801.0,1446.0,1089.0,917.0,400.0,3199.0,2784.0,3243.0,3124.0,1631.0,1455.0,1507.0,949.0,2383.0,1464.0,952.0,3042.0,1331.0,1592.0,2029.0
Delhi,2478.0,1875.0,2502.0,2090.0,1118.0,243.0,1223.0,1285.0,1260.0,0.0,1905.0,1097.0,125.0,340.0,680.0,1286.0,1898.0,2637.0,2062.0,823.0,1340.0,2426.0,2020.0,2701.0,2360.0,1744.0,2367.0,373.0,402.0,1619.0,2510.0,1561.0,2500.0,552.0,367.0,1487.0
