States,Latitude,Longitude,Coordinates
Alabama,32.31823,-86.902298,"32.31823,-86.902298"
Alaska,66.160507,-153.369141,"66.160507,-153.369141"
Arizona,34.048927,-111.093735,"34.048927,-111.093735"
Arkansas,34.799999,-92.199997,"34.799999,-92.199997"
California,36.778259,-119.417931,"36.778259,-119.417931"
Colorado,39.113014,-105.358887,"39.113014,-105.358887"
Connecticut,41.599998,-72.699997,"41.599998,-72.699997"
Delaware,39,-75.5,"39,-75.5"
Florida,27.994402,-81.760254,"27.994402,-81.760254"
Georgia,33.247875,-83.441162,"33.247875,-83.441162"
Hawaii,19.741755,-155.844437,"19.741755,-155.844437"
Idaho,44.068203,-114.742043,"44.068203,-114.742043"
Illinois,40,-89,"40,-89"
Indiana,40.273502,-86.126976,"40.273502,-86.126976"
Iowa,42.032974,-93.581543,"42.032974,-93.581543"
Kansas,38.5,-98,"38.5,-98"
Kentucky,37.839333,-84.27002,"37.839333,-84.27002"
Louisiana,30.39183,-92.329102,"30.39183,-92.329102"
Maine,45.367584,-68.972168,"45.367584,-68.972168"
Maryland,39.045753,-76.641273,"39.045753,-76.641273"
Massachusetts,42.407211,-71.382439,"42.407211,-71.382439"
Michigan,44.182205,-84.506836,"44.182205,-84.506836"
Minnesota,46.39241,-94.63623,"46.39241,-94.63623"
Mississippi,33,-90,"33,-90"
Missouri,38.573936,-92.60376,"38.573936,-92.60376"
Montana,46.96526,-109.533691,"46.96526,-109.533691"
Nebraska,41.5,-100,"41.5,-100"
Nevada,39.876019,-117.224121,"39.876019,-117.224121"
New_Hampshire,44,-71.5,"44,-71.5"
New_Jersey,39.833851,-74.871826,"39.833851,-74.871826"
New_Mexico,34.307144,-106.018066,"34.307144,-106.018066"
New_York,43,-75,"43,-75"
North_Carolina,35.782169,-80.793457,"35.782169,-80.793457"
North_Dakota,47.650589,-100.437012,"47.650589,-100.437012"
Ohio,40.367474,-82.996216,"40.367474,-82.996216"
Oklahoma,36.084621,-96.921387,"36.084621,-96.921387"
Oregon,44,-120.5,"44,-120.5"
Pennsylvania,41.203323,-77.194527,"41.203323,-77.194527"
Rhode_Island,41.742325,-71.742332,"41.742325,-71.742332"
South_Carolina,33.836082,-81.163727,"33.836082,-81.163727"
South_Dakota,44.5,-100,"44.5,-100"
Tennessee,35.860119,-86.660156,"35.860119,-86.660156"
Texas,31,-100,"31,-100"
Utah,39.41922,-111.950684,"39.41922,-111.950684"
Vermont,44,-72.699997,"44,-72.699997"
Virginia,37.926868,-78.024902,"37.926868,-78.024902"
Washington,47.751076,-120.740135,"47.751076,-120.740135"
West_Virginia,39,-80.5,"39,-80.5"
Wisconsin,44.5,-89.5,"44.5,-89.5"
Wyoming,43.07597,-107.290283,"43.07597,-107.290283"
