States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
Alabama,0.0,5713.0,2554.0,754.0,3493.0,2228.0,1872.0,1495.0,853.0,449.0,6927.0,3570.0,1063.0,993.0,1552.0,1607.0,811.0,711.0,2455.0,1392.0,2030.0,1534.0,2101.0,391.0,1215.0,3234.0,1987.0,3531.0,2247.0,1591.0,1996.0,1932.0,775.0,2599.0,1129.0,1280.0,4057.0,1583.0,1965.0,640.0,2298.0,448.0,1430.0,3079.0,2185.0,1187.0,4199.0,1148.0,1617.0,2756.0
Alaska,5713.0,0.0,4514.0,5235.0,3930.0,4246.0,5461.0,5583.0,6368.0,5778.0,5160.0,3381.0,4881.0,4984.0,4484.0,4622.0,5299.0,5661.0,5271.0,5527.0,5443.0,4694.0,4036.0,5508.0,4854.0,3325.0,4249.0,3696.0,5289.0,5532.0,4690.0,5228.0,5653.0,3663.0,5117.0,4902.0,3165.0,5299.0,5490.0,5824.0,3968.0,5381.0,5269.0,3945.0,5236.0,5572.0,2792.0,5358.0,4440.0,3784.0
Arizona,2554.0,4514.0,0.0,1949.0,1204.0,1000.0,3928.0,3652.0,3440.0,2904.0,4677.0,1574.0,2438.0,2655.0,2168.0,1510.0,2779.0,2179.0,4526.0,3542.0,4102.0,3152.0,2728.0,2306.0,2065.0,1925.0,1765.0,1247.0,4174.0,3667.0,626.0,3729.0,3137.0,2518.0,2901.0,1516.0,1967.0,3480.0,3992.0,3096.0,2131.0,2511.0,1323.0,944.0,4036.0,3414.0,2315.0,3169.0,2753.0,1520.0
Arkansas,751.0,5235.0,1951.0,0.0,2889.0,1621.0,2138.0,1780.0,1565.0,961.0,6414.0,2859.0,780.0,991.0,1046.0,860.0,928.0,675.0,2720.0,1676.0,2296.0,1502.0,1606.0,380.0,541.0,2561.0,1313.0,2947.0,2456.0,1865.0,1392.0,2012.0,1195.0,1991.0,1209.0,532.0,3345.0,1762.0,2231.0,1153.0,1625.0,568.0,975.0,2332.0,2318.0,1472.0,3526.0,1326.0,1282.0,2071.0
California,3494.0,3930.0,1204.0,2888.0,0.0,1866.0,4851.0,4644.0,4429.0,3844.0,4008.0,1462.0,3387.0,3647.0,2969.0,2540.0,3719.0,3179.0,5263.0,4534.0,4990.0,3944.0,3216.0,3245.0,3008.0,2064.0,2351.0,692.0,5110.0,4659.0,1612.0,4617.0,4077.0,2828.0,3892.0,2455.0,1098.0,4403.0,4948.0,4035.0,2654.0,3450.0,2341.0,1157.0,4924.0,4354.0,1535.0,4109.0,3553.0,1917.0
Colorado,2226.0,4246.0,1000.0,1619.0,1865.0,0.0,3142.0,2867.0,3060.0,2456.0,5269.0,1418.0,1610.0,1869.0,1328.0,763.0,2004.0,1851.0,3622.0,2757.0,3317.0,2303.0,1687.0,1983.0,1231.0,1309.0,710.0,1439.0,3469.0,2882.0,766.0,2944.0,2564.0,1463.0,2115.0,1114.0,1904.0,2694.0,3207.0,2647.0,1076.0,1984.0,1251.0,800.0,3250.0,2684.0,2158.0,2394.0,1913.0,727.0
Connecticut,1878.0,5461.0,3928.0,2141.0,4850.0,3143.0,0.0,457.0,1984.0,1563.0,8023.0,4133.0,1603.0,1350.0,1968.0,2456.0,1295.0,2482.0,586.0,499.0,161.0,1268.0,2300.0,2103.0,1965.0,3490.0,2549.0,4221.0,378.0,314.0,3370.0,328.0,1134.0,2799.0,1024.0,2446.0,4619.0,475.0,116.0,1323.0,2693.0,1606.0,3108.0,3784.0,316.0,693.0,4627.0,867.0,1816.0,3318.0
Delaware,1496.0,5583.0,3666.0,1779.0,4605.0,2881.0,453.0,0.0,1603.0,1181.0,7841.0,3968.0,1341.0,1115.0,1803.0,2194.0,990.0,2121.0,1036.0,117.0,611.0,1229.0,2135.0,1741.0,1703.0,3325.0,2384.0,4056.0,828.0,172.0,3108.0,573.0,752.0,2633.0,838.0,2184.0,4454.0,433.0,546.0,942.0,2528.0,1245.0,2747.0,3591.0,766.0,311.0,4462.0,562.0,1651.0,3153.0
Florida,888.0,6368.0,3474.0,1603.0,4461.0,3098.0,1977.0,1600.0,0.0,707.0,7491.0,4275.0,1768.0,1698.0,2257.0,2411.0,1362.0,1317.0,2559.0,1497.0,2135.0,2173.0,2806.0,1260.0,1920.0,3939.0,2691.0,4364.0,2352.0,1696.0,2916.0,2076.0,1003.0,3304.0,1668.0,2129.0,4761.0,1786.0,2070.0,774.0,3003.0,1153.0,2190.0,3809.0,2289.0,1357.0,4904.0,1440.0,2322.0,3461.0
Georgia,451.0,5778.0,2908.0,965.0,3847.0,2459.0,1558.0,1181.0,673.0,0.0,7235.0,3636.0,1129.0,1059.0,1618.0,1772.0,723.0,1101.0,2140.0,1078.0,1716.0,1534.0,2167.0,758.0,1281.0,3300.0,2052.0,3725.0,1933.0,1277.0,2350.0,1615.0,483.0,2665.0,1103.0,1490.0,4122.0,1327.0,1651.0,254.0,2364.0,514.0,1846.0,3170.0,1870.0,938.0,4265.0,920.0,1683.0,2822.0
